uuid,adm4_pcode,date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en,location1.brgy_total_area
osmpa001de7,ph063022100,01/01/2022,362.7383815,60.46618178,55.65525423,1145.352564,551.8401286,430.2777348,Macarthur,0.0442
osmpa001d61,ph063022187,01/01/2022,1399.680792,970.3048443,387.5891288,2173.3779,266.4358561,4111.355154,Ungka,0.7416
osmpa001d60,ph063022127,01/01/2022,563.8509115,916.2333133,239.7811116,267.3025289,416.4599816,2723.592284,Phhc Block 17,0.137
osmpa001d5f,ph063022042,01/01/2022,0,259.6160845,0,370.1312324,118.9536537,438.6535905,Danao,0.1989
osmpa001d5e,ph063022055,01/01/2022,593.1878037,399.5016686,0,483.1789483,194.5054507,287.9030159,Tanza-Esperanza,0.0561
osmpa001d5d,ph063022079,01/01/2022,457.2347181,514.8957521,167.4928563,944.8534376,1325.571021,561.1510153,Kasingkasing,0.0777
osmpa001d5c,ph063022116,01/01/2022,508.8186113,838.8772783,80.40047912,364.3202125,0,1226.090205,Nonoy,0.0771
osmpa001d5b,ph063022010,01/01/2022,350.515709,2014.518256,0,0,1705.601039,1699.511637,Balabago,2.4307
osmpa001d5a,ph063022053,01/01/2022,0,557.9013267,0,736.624405,723.6658152,0,East Timawa,0.0647
osmpa001d59,ph063022098,01/01/2022,0,1690.535234,0,590.3294211,2064.850282,2936.72292,M. V. Hechanova,0.8256
osmpa001d58,ph063022105,01/01/2022,1512.44138,1144.625791,17.26453299,1495.621168,755.9188489,2217.317625,Mansaya-Lapuz,0.1597
osmpa001d57,ph063022174,01/01/2022,48.77048864,452.3263865,0,664.9145236,741.6574818,0,Taal,0.3282
osmpa001d56,ph063022125,01/01/2022,732.5715346,897.3649634,273.1956686,923.0464434,393.6167537,809.1151701,Rizal Palapala I,0.0201
osmpa001d55,ph063022108,01/01/2022,481.0967807,1106.981875,311.1460034,631.1267406,931.2937821,1767.889612,Maria Cristina,0.0555
